chapter,Chapter Content,Questions,Answers
1.1 Computing from Inception to Today," Early computers were used predominantly by engineers and scientists to handle large amounts of data. Key companies in the evolution of computing include IBM, Hewlett Packard, Xerox, Apple, and Microsoft.  With the invention of the microprocessor, computers became available to the average consumer.  Computing technology has increased efficiencies, decreased errors, opened new opportunities, and enhanced businesscustomer relationships.  Key technologies in computing include mobile devices, digital imaging, and machine learning.  Advances in technology are applicable to nearly every industry. The rapid pace of technological change has distinct career implications.","[' What are the key companies that have played a significant role in the evolution of computing?', ' How did computers become available to the average consumer?', ' What are the key technologies in computing?', ' How do advances in technology affect nearly every industry?', ' What are the benefits of computing technology?', ' What are the career implications of rapid technological change?']","[' IBM, Hewlett Packard, Xerox, Apple, and Microsoft.', 'The microprocessor revolutionized the way computers were used.', 'Mobile devices, digital imaging, and machine learning.', ' Rapid technological change has distinct career implications, as it allows for the use of new technologies and skills in nearly every industry.', 'Computing technology increases efficiencies, decreases errors, opens new opportunities, and enhances business-customer relationships.', 'Rapid technological change can lead to increased job opportunities and the ability to adapt to new technologies, which can lead to advancements in careers.']"
1.2 Computer Hardware and Networks,"Hardware components that make up a computer are the motherboard, CPU, microprocessor, and memory, as well as the keyboard, mouse, and other peripheral devices.  Computers process and store data through the information processing cycle.  Networks are connections of two or more computer systems, such as LANs and WANs. Routers, switches, and firewalls are basic components of networks.","[' What are the hardware components that make up a computer?', ' What is the information processing cycle?', ' What are networks and why are they important?', 'What are the basic components of a network?']","['The hardware components that make up a computer are the motherboard, CPU, microprocessor, and memory, as well as the keyboard, mouse, and other peripheral devices.', ' Computers process and store data through the information processing cycle, which includes input, storage, processing, and output.', 'Networks are connections of two or more computer systems, such as LANs and WANs, that allow for data sharing and communication. They are important because they allow for the distribution of resources and services across a large area.', 'The basic components of a network include routers, switches, and firewalls. A router is a device that forwards data packets across a network, while a switch is a device that connects devices within a network. A firewall is a security system that controls incoming and outgoing network traffic based on predetermined security rules.']"
"1.3 The Internet, Cloud Computing, and the Internet of Things","The internet was initially rooted in government and military applications. Advances in technology such as HTML, URL, and DNS made the internet more accessible to the average user.  Programs such as Zoom, Google Docs, and X (Twitter) foster new types of interactions between businesses and their customers. Through sites such as eBay and Amazon, e-commerce has become an efficient way to purchase products and services, not just from companies but also from individuals. Cloud computing refers to storing IT resources on a virtual server rather than on the actual computers where the resources are used.  The use of cloud computing in the workplace has increased productivity and saved money for many businesses.  Cloud computing enables individuals to access a wide variety of resources such as media files, documents, and photos without the need for computers with massive storage capacities.  The Internet of Things (IoT) connects the physical to the virtual; with simple changes to pro","['What is the origin of the internet?', ' What is the significance of HTML, URL, and DNS in the internet?', ' What are some examples of applications that have been developed using the internet?', ' How has e-commerce evolved over the years?', ' What is cloud computing and why is it important?', ' How does cloud computing benefit businesses?', ' What is the Internet of Things and how does it work?', ' What are some examples of resources that can be accessed using cloud computing?', ' How does the Internet of Things connect the physical to the virtual?']","[' The internet was initially rooted in government and military applications.', ' HTML (HyperText Markup Language) is used to create the structure of web pages, URL (Uniform Resource Locator) is used to address the pages on the internet, and DNS (Domain Name System) is used to translate human-friendly domain names into IP addresses.', ' Applications such as Zoom, Google Docs, and X (Twitter) have enabled new types of interactions between businesses and their customers.', ' E-commerce has become an efficient way to purchase products and services, not just from companies but also from individuals.', 'Cloud computing refers to storing IT resources on a virtual server rather than on the actual computers where the resources are used.', ' Cloud computing benefits businesses by increasing productivity, saving money, and enabling individuals to access a wide variety of resources.', 'The Internet of Things (IoT) connects the physical to the virtual by enabling devices to connect to the internet and exchange data.', ' Examples of resources that can be accessed using cloud computing include media files, documents, and photos.', ' The Internet of Things connects the physical to the virtual by enabling devices to connect to the internet and exchange data.']"
"1.4 Safety, Security, Privacy, and the Ethical Use of Technology"," Computer safety and security are paramount considerations for a companys effective operations.  Privacy in the digital world has become a major focus of corporate efforts to maintain the trust of employees, the public, and stakeholders. Common security issues include data and identity theft, cybercrime, phishing, and hacking.  Measures that prevent computer security breaches include encryption, firewalls, password management, data erasure, and data masking. ","['What is the main importance of computer safety and security in a companyâ\x80\x99s operations?', 'What are some common security issues in the digital world?', ' What are some measures that can prevent computer security breaches?', ' What is the main focus of corporate efforts to maintain the trust of employees, the public, and stakeholders in the digital world?']","["" The main importance of computer safety and security in a companyâ\x80\x99s operations is to protect the company's assets and maintain the confidentiality of its information."", ' Some common security issues in the digital world include data and identity theft, cybercrime, phishing, and hacking.', ' Some measures that can prevent computer security breaches include encryption, firewalls, password management, data erasure, and data masking.', ' The main focus of corporate efforts to maintain the trust of employees, the public, and stakeholders in the digital world is to protect their personal and organizational information from potential threats.']"
10.1 Data Tables and Ranges,"Data Tables can be used for automatically generating multiple possible scenarios. This can be used to predict future outcomes, such as revenues, unit sales projections, installment payments, interest rate changes, and many other variables. Businesses need to construct complex datasets for their everyday control and management of the company. For that purpose, Excel has data ranges, which help the user define a name for a particular set of cells. This allows the user to use the given name of the data range instead of cell references. Arrays also simplify the complexity of huge worksheets, as they let the user autofill and compute multiple calculations simultaneously.","[' What is the purpose of data tables in Excel?', ' What is the difference between a data range and a data table?', 'What is an array in Excel and how does it simplify the complexity of huge worksheets?', ' How can data tables be used for predicting future outcomes?', 'What are some practical applications of data tables in business management?']","[' The purpose of data tables in Excel is to automatically generate multiple possible scenarios, which can be used to predict future outcomes, such as revenues, unit sales projections, installment payments, interest rate changes, and many other variables.', ' A data range is a set of cells in Excel that have been given a name, allowing the user to use the given name of the data range instead of cell references. A data table, on the other hand, is a set of data ranges that are organized in a way that makes it easy to compare different sets of data.', ' An array in Excel is a set of cells that are grouped together and can be used to perform calculations on multiple cells at once. This is done by entering an array formula in one cell and then copying or filling it down or across to apply the formula to all the cells in the array. The advantage of using arrays is that they simplify the complexity of huge worksheets by allowing the user to autofill and compute multiple calculations simultaneously.', 'Data tables can be used for predicting future outcomes by creating a table of scenarios based on the current state of the business. These scenarios can then be used to make predictions about future outcomes based on the current state of the business.', ' Data tables in business management have numerous practical applications. For example, they can be used to predict future revenues based on current sales trends, to plan for future installment payments based on current creditworthiness, or to monitor the performance of different products or services over time. They can also be used to compare the performance of different business strategies or policies.']"
10.2 More About Formulas," Businesses need spreadsheets to handle datasets that are updated every minute with information. Cell references, comparison operators, and array formulas can help analyze large sets of changing data.  Complex equations need complex formulas to solve them. Excel formulas use the same math symbols as pencil and paper math and follow the same order of operations. An easy way to remember the order of operations is with the acronym PEMDAS.  Cell references are needed in formulas and in constructing autofilled tables. There are three types of cell references: relative, absolute, and mixed. Relative cell references are when a cell copies its links to other cells relative to where it is located. Absolute cell references lock a reference to a specific cell, row, or column. Mixed cell references use both.  Comparison operators are math inequalities used in Excel formulas. They use logical operators like the IF function to make your workbook pull information for you. ","[' What is the purpose of spreadsheets in businesses?', 'What are the three types of cell references in Excel?', ' What is the acronym PEMDAS and how is it used in Excel formulas?', 'What are array formulas and how are they used in Excel?', ' What are comparison operators and how are they used in Excel?', ' What is the purpose of IF function in Excel?', 'What is the difference between relative, absolute, and mixed cell references?', ' What is the purpose of comparison operators in Excel?', 'What is the difference between complex equations and complex formulas in Excel?', 'How are array formulas used to solve complex equations in Excel?']","[' Businesses need spreadsheets to handle datasets that are updated every minute with information.', ' The three types of cell references in Excel are relative, absolute, and mixed.', 'PEMDAS stands for Parentheses, Exponents, Multiplication and Division (from left to right), Addition and Subtraction (from left to right). It is used in Excel formulas to follow the order of operations.', 'Array formulas are used in Excel to perform calculations on an array of values.', ' Comparison operators are math inequalities used in Excel formulas. They use logical operators like the IF function to make your workbook pull information for you.', ' The IF function in Excel is used to make decisions based on conditions you specify.', 'Relative cell references are when a cell copies its links to other cells relative to where it is located. Absolute cell references lock a reference to a specific cell, row, or column. Mixed cell references use both.', 'The purpose of comparison operators in Excel is to compare values and make decisions based on those comparisons.', 'Complex equations are equations that involve more than one variable and can be solved using complex formulas in Excel.', ' Array formulas in Excel are used to solve complex equations by performing calculations on an array of values.']"
"10.3 Using Arithmetic, Statistical, and Logical Functions","The tools introduced in this section will help you use and make sense of internal business data, such as client orders, invoice amounts, and machinery operative data. The arithmetic functions and statistical tools can give you an idea of the operations tendencies and cycles.  The basic financial functions can be used to determine monthly or annual loan payments or the number of years needed to pay off a loan.  Logical functions are used for making inferences or deductions. Many logical functions can be embedded within one another to create complex logical scenarios.","[' What are the arithmetic functions in Excel?', ' What are the statistical functions in Excel?', 'What are the logical functions in Excel?']","[' Arithmetic functions in Excel include ADD, DIVIDE, MULTIPLY, SUBTRACT, and others.', 'Statistical functions in Excel include AVERAGE, COUNT, MAX, MIN, MEDIAN, MODE, STDEV, and others.', 'Logical functions in Excel include AND, IF, IFERROR, NOT, OR, and others.']"
10.4 PivotTables,"Corporations need to analyze their datasets to produce metrics or insights. However, these datasets need to be organized and cleaned before they can be processed. A PivotTable is a tool that reads raw datasets. It has user-friendly drag-and-drop capabilities that can help organize the table information for the business. These PivotTables are malleable, as the user can rearrange the variables in different ways to generate entirely different data highlights.  Visual representations of PivotTables can be generated using another Excel tool, PivotChart.","[' What is the purpose of a PivotTable?', 'How can a PivotTable help with data organization and cleaning?', ' What are some features of a PivotTable that make it malleable?', 'What tool can be used to generate visual representations of PivotTables?', 'What is the difference between a PivotTable and a PivotChart?']","[' The purpose of a PivotTable is to summarize and analyze data in a dataset.', 'A PivotTable can help with data organization and cleaning by organizing data into rows, columns, and cells, and calculating summary statistics.', 'Some features of a PivotTable that make it malleable include the ability to rearrange the variables in different ways to generate entirely different data highlights.', ' A PivotChart can be used to generate visual representations of PivotTables.', 'The difference between a PivotTable and a PivotChart is that a PivotTable provides summary statistics and data summaries, while a PivotChart provides graphical representations of the data.']"
10.5 Auditing Formulas and Fixing Errors," All organizations should use auditing formula techniques to double-check their datasets. Errors can occur in a variety of ways, from user error to cell reference errors.  Running the Trace Precedents and Trace Dependents tools on a cell can diagram the problem with that Chapter Review Access for free at openstax.org  formula or the information contained in that cell.  Auditing formulas is a manageable process if you use the right tools. You need to specify the correct options in the Excel settings to be able to see all the error codes, and be aware of all the built-in error- checking tools Excel has to offer, such as the Inquire add-in.","['What is the purpose of auditing formulas in Excel?', 'What are the different types of errors that can occur in Excel?', ' How can you use the Trace Precedents and Trace Dependents tools in Excel to identify errors?', 'What is the purpose of the Inquire add-in in Excel?', 'How can you specify the correct options in Excel settings to enable error checking?', 'What is the benefit of knowing all the built-in error-checking tools Excel has to offer?', ' What is the free resource for learning Excel formula and information contained in a cell?']","['The purpose of auditing formulas in Excel is to ensure that the formulas are correctly written and are producing the expected results.', 'Errors can occur in a variety of ways, including user error (e.g., entering the wrong value), cell reference errors (e.g., referring to a cell that does not exist), and logical errors (e.g., using an incorrect formula).', 'You can use the Trace Precedents and Trace Dependents tools in Excel to identify errors by tracing the dependencies and precedents of a cell. If a cell is dependent on another cell and the other cell contains an error, the error will be shown.', 'The purpose of the Inquire add-in in Excel is to provide additional error checking and troubleshooting tools. It can help identify and fix errors in formulas, data validation, and other aspects of Excel.', 'You can specify the correct options in Excel settings to enable error checking by enabling the ""Show all errors"" option and setting the ""Error Checking Options"" to ""Prompt for correction"".', ' Knowing all the built-in error-checking tools Excel has to offer can help you identify and fix errors more quickly and accurately. It can also help you understand why an error has occurred.', 'The free resource for learning Excel formula and information contained in a cell is openstax.org.']"
10.6 Advanced Formatting Techniques,Using consistent branding and style throughout a companys documents is important for promoting professionalism. This can be achieved by using a company-wide branding or style manual.  The Themes tool lets you change a formatting scheme throughout an entire workbook. You can further adjust the theme by using the Styles combo-box options.  Excel lets you save time by copying a format using the Format Painter or the Paste Special method. ,"['What is the purpose of using a company-wide branding or style manual in document formatting?', 'How does the Themes tool in Excel help to change a formatting scheme throughout an entire workbook?', 'What is the Format Painter in Excel used for?', ' What is the Paste Special method in Excel used for?', ' How does Excel help to save time when copying a format?', ' What is the purpose of using a company-wide branding or style manual in document formatting?', ' What are the two types of data?']","[' The purpose of using a company-wide branding or style manual in document formatting is to promote professionalism and consistency by ensuring that all documents adhere to a standard format.', ' The Themes tool in Excel allows you to change a formatting scheme throughout an entire workbook. This can be further adjusted by using the Styles combo-box options, which allows for more specific formatting adjustments.', ' The Format Painter in Excel is used to copy the formatting of a selected range of cells to other cells in the same or different worksheet.', 'The Paste Special method in Excel is used to paste data with different formatting than the original source. This can be used to copy formatting from one range of cells to another.', ' Excel helps to save time when copying a format by allowing you to use the Format Painter or the Paste Special method. These tools allow you to quickly apply the formatting from one range of cells to another, without having to manually apply each formatting setting.', 'The purpose of using a company-wide branding or style manual in document formatting is to ensure consistency and professionalism, promoting a standard format across all documents.', ' The two types of data are qualitative and quantitative.']"
